iter	Passed	Remaining
401	28846	42910
402	28941	42873
403	28993	42772
404	29061	42695
405	29179	42690
406	29242	42606
407	29308	42526
408	29376	42448
409	29442	42368
410	29618	42445
411	29681	42361
412	29835	42404
413	29966	42416
414	30026	42327
415	30095	42249
416	30159	42165
417	30215	42070
418	30349	42083
419	30421	42010
420	30485	41926
421	30560	41857
422	30620	41768
423	30667	41661
424	30781	41644
425	30844	41560
426	30915	41485
427	30989	41416
428	31040	41314
429	31183	41336
430	31248	41253
431	31313	41172
432	31421	41145
433	31483	41059
434	31555	40985
435	31695	41000
436	31795	40962
437	31866	40888
438	31924	40796
439	31988	40712
440	32049	40624
441	32112	40540
442	32172	40451
443	32245	40380
444	32357	40355
445	32417	40267
446	32603	40335
447	32672	40256
448	32746	40185
449	32809	40100
450	32944	40102
451	33019	40032
452	33147	40025
453	33222	39954
454	33383	39987
455	33446	39900
456	33534	39845
457	33656	39828
458	33731	39758
459	33789	39665
460	33860	39589
461	33924	39505
462	33988	39421
463	34129	39425
464	34199	39347
465	34352	39365
466	34423	39288
467	34529	39251
468	34634	39213
469	34697	39127
470	34873	39168
471	34943	39089
472	35020	39018
473	35070	38917
474	35189	38893
475	35255	38810
476	35311	38716
477	35371	38626
478	35420	38526
479	35478	38435
480	35538	38345
481	35596	38254
482	35725	38239
483	35799	38166
484	35859	38077
485	35918	37987
486	35970	37890
487	36005	37775
488	36042	37663
489	36092	37565
490	36155	37480
491	36233	37411
492	36332	37364
493	36402	37286
494	36462	37198
495	36510	37099
496	36575	37016
497	36634	36929
498	36693	36840
499	36751	36751
500	36802	36655
501	36907	36613
502	36953	36512
503	37015	36428
504	37089	36354
505	37108	36228
506	37168	36141
507	37226	36054
508	37302	35983
509	37370	35904
510	37430	35819
511	37555	35795
512	37607	35701
513	37757	35700
514	37825	35622
515	37900	35550
516	38021	35521
517	38080	35433
518	38153	35360
519	38210	35271
520	38280	35194
521	38387	35152
522	38458	35075
523	38534	35004
524	38590	34914
525	38645	34825
526	38707	34741
527	38764	34653
528	38867	34605
529	38927	34520
530	38995	34442
531	39052	34354
532	39113	34269
533	39161	34174
534	39259	34123
535	39336	34052
536	39432	33998
537	39488	33910
538	39538	33816
539	39618	33749
540	39714	33694
541	39773	33609
542	39900	33580
543	39988	33520
544	40046	33433
545	40096	33340
546	40161	33259
547	40260	33207
548	40329	33130
549	40360	33021
550	40437	32951
551	40494	32864
552	40612	32828
553	40769	32821
554	40831	32738
555	40918	32676
556	40988	32599
557	41086	32544
558	41143	32458
559	41210	32379
560	41274	32298
561	41341	32219
562	41404	32138
563	41516	32093
564	41575	32009
565	41697	31972
566	41779	31905
567	41832	31816
568	41893	31732
569	41948	31645
570	42017	31568
571	42074	31482
572	42130	31395
573	42187	31309
574	42247	31226
575	42325	31156
576	42477	31140
577	42559	31072
578	42703	31050
579	42768	30970
580	42830	30888
581	42948	30845
582	43038	30783
583	43103	30703
584	43166	30622
585	43298	30589
586	43415	30546
587	43463	30453
588	43578	30408
589	43641	30327
590	43759	30283
591	43915	30265
592	43991	30193
593	44051	30109
594	44109	30024
595	44164	29937
596	44293	29900
597	44356	29818
598	44459	29763
599	44603	29735
600	44663	29651
601	44723	29568
602	44837	29519
603	44956	29475
604	45094	29442
605	45241	29414
606	45297	29327
607	45361	29246
608	45482	29201
609	45545	29119
610	45642	29058
611	45735	28995
612	45804	28917
613	45869	28836
614	45925	28749
615	45994	28672
616	46117	28627
617	46231	28576
618	46297	28496
619	46403	28441
620	46485	28370
621	46616	28329
622	46682	28249
623	46737	28162
624	46867	28120
625	46927	28036
626	47116	28029
627	47248	27988
628	47365	27937
629	47417	27848
630	47557	27810
631	47617	27726
632	47666	27636
633	47777	27581
634	47836	27496
635	47889	27408
636	47946	27322
637	48002	27236
638	48054	27147
639	48192	27108
640	48268	27033
641	48436	27009
642	48500	26928
643	48553	26839
644	48688	26797
645	48753	26716
646	48818	26635
647	48909	26568
648	48968	26483
649	49109	26443
650	49234	26394
651	49335	26332
652	49456	26280
653	49524	26200
654	49617	26134
655	49729	26077
656	49775	25986
657	49896	25933
658	49956	25850
659	50018	25767
660	50150	25720
661	50207	25634
662	50277	25555
