iter	Logloss
341	0.3235273319
342	0.3235197797
343	0.3235115433
344	0.3234788732
345	0.3234675673
346	0.3234617013
347	0.3234450715
348	0.3234416981
349	0.3234295962
350	0.3234253995
351	0.3234083191
352	0.3234027881
353	0.3233829191
354	0.3233553022
355	0.3233305852
356	0.3233154174
357	0.3233078172
358	0.3232891978
359	0.3232515957
360	0.3232420036
361	0.3232389841
362	0.3232279111
363	0.3232098086
364	0.3231979516
365	0.3231879087
366	0.3231813678
367	0.3231737254
368	0.3231573801
369	0.3231498308
370	0.3231439093
371	0.3231349962
372	0.3231269299
373	0.3231138486
374	0.3231069496
375	0.3230942365
376	0.3230884859
377	0.3230833777
378	0.3230709894
379	0.3230637931
380	0.3230280206
381	0.3230241764
382	0.3230218371
383	0.3230181732
384	0.3230076615
385	0.3229958393
386	0.3229877109
387	0.3229780353
388	0.3229670444
389	0.3229591648
390	0.3229381081
391	0.3229241405
392	0.322920424
393	0.3228939158
394	0.3228877114
395	0.3228696299
396	0.3228580317
397	0.3228468072
398	0.3228407119
399	0.3227992204
400	0.3227946827
401	0.3227825963
402	0.3227792341
403	0.3227632568
404	0.3227608896
405	0.3227557696
406	0.3227442562
407	0.3227268349
408	0.3227011372
409	0.3226948261
410	0.3226720984
411	0.3226490321
412	0.3226434863
413	0.3226278944
414	0.3226222958
415	0.3226173988
416	0.3226125499
417	0.3226091311
418	0.3226011469
419	0.3225970507
420	0.322592662
421	0.3225810571
422	0.3225551982
423	0.3225498167
424	0.322542235
425	0.3225237506
426	0.3225146305
427	0.3225047561
